# Created by: RiboViz
# Date: 2021-01-19 06:28:21
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 7aad0d0385ef62bb0e0f86f4849e4e15929f0d3e date 2021-01-18 14:51:25 GMT
ORF	readcount	rpb	tpm
YAL001C	4	0.00113314447592068	116.685976611765
YAL002W	8	0.00206611570247934	212.759037933641
YAL003W	1291	1.93263473053892	199013.784878156
YAL005C	4797	2.42763157894737	249986.270649977
YAL007C	42	0.060431654676259	6222.9722634749
YAL008W	6	0.0093167701863354	959.397897762878
YAL009W	4	0.00483675937122128	498.06710694018
YAL010C	5	0.00327011118378025	336.740923348209
YAL011W	16	0.00831168831168831	855.899215458761
YAL012W	444	0.36038961038961	37111.2550452822
YAL013W	12	0.00948616600790514	976.841495904021
YAL014C	8	0.0098159509202454	1010.8012207105
YAL015C	14	0.0112269446672013	1156.09883002274
YAL016W	114	0.0583120204603581	6004.70213658648
YAL017W	9	0.00218552695483244	225.055456347484
YAL018C	0	0	0
YAL019W	29	0.00842288701713622	867.349943780593
YAL020C	2	0.00190657769304099	196.330551687097
YAL021C	68	0.0265521280749707	2734.21532857165
YAL022C	32	0.0199875078076202	2058.22109901076
YAL023C	141	0.0605930382466695	6239.59079705346
YAL024C	3	0.00068886337543054	70.9359639677719
YAL025C	28	0.0289256198347107	2978.62653107097
YAL026C	23	0.00558930741190765	575.561023153655
YAL027W	1	0.00120048019207683	123.619897190735
YAL028W	0	0	0
YAL029C	15	0.00336096795877213	346.096933766129
YAL030W	6	0.0149625935162095	1540.77866872642
YAL031C	3	0.00128755364806867	132.586318918303
YAL032C	5	0.004212299915754	433.763160740868
YAL033W	9	0.015817223198594	1628.78448020903
YAL034C	0	0	0
YAL034W-A	4	0.00436205016357688	449.183748570915
YAL035W	266	0.0870418848167539	8963.17067399498
YAL036C	77	0.0665514261019879	6853.15801703624
YAL037C-A	0	0	0
YAL037W	0	0	0
YAL038W	6359	4.10258064516129	422464.777777091
YAL039C	13	0.015169194865811	1562.05352004489
YAL040C	3	0.00167597765363128	172.584426301479
YAL041W	21	0.00803981623277182	827.903086354336
YAL042W	59	0.0455598455598456	4691.54215230351
YAL043C	23	0.00956340956340956	984.795679948977
YAL044C	54	0.0964285714285714	9929.76824184578
YAL044W-A	12	0.0315789473684211	3251.85392715417
YAL046C	7	0.0173267326732673	1784.22678346331
YAL047C	4	0.00208768267223382	214.979904717917
YAL048C	2	0.000982318271119843	101.154591709118
YAL049C	27	0.0342639593908629	3528.34404532591
YAL051W	17	0.00532748354747728	548.599612697586
YAL053W	43	0.0179241350562734	1845.74451749685
YAL054C	0	0	0
YAL055W	2	0.00338983050847458	349.069065626719
YAL056W	3	0.00111524163568773	114.842424936672
YAL058W	7	0.0044987146529563	463.256825526462
YAL059W	17	0.0247813411078717	2551.86787772303
YAL060W	38	0.0317725752508361	3271.79283083238
YAL061W	4	0.00307455803228286	316.60376436551
YAL062W	2	0.00140745953553835	144.933672568448
YAL063C	0	0	0
YAL063C-A	0	0	0
YAL064C-A	0	0	0
YAL064W	0	0	0
YAL064W-B	0	0	0
YAL065C	0	0	0
YAL067C	0	0	0
YAL067W-A	0	0	0
YAL068C	0	0	0
