Position	Counts	End
-20	955	5
-19	848	5
-18	956	5
-17	860	5
-16	836	5
-15	836	5
-14	801	5
-13	827	5
-12	799	5
-11	689	5
-10	1009	5
-9	5909	5
-8	23650	5
-7	13361	5
-6	4321	5
-5	10539	5
-4	8769	5
-3	6165	5
-2	10634	5
-1	7041	5
0	4852	5
1	11081	5
2	6397	5
3	3645	5
4	12330	5
5	12281	5
6	5506	5
7	8441	5
8	5001	5
9	3284	5
10	9092	5
11	5991	5
12	3049	5
13	7521	5
14	6085	5
15	3290	5
16	7767	5
17	5578	5
18	3129	5
19	7183	5
20	5122	5
21	3162	5
22	7344	5
23	5061	5
24	2945	5
25	6628	5
-20	1656	3
-19	954	3
-18	2629	3
-17	1941	3
-16	819	3
-15	1569	3
-14	1105	3
-13	392	3
-12	394	3
-11	455	3
-10	298	3
-9	245	3
-8	252	3
-7	159	3
-6	126	3
-5	140	3
-4	106	3
-3	70	3
-2	96	3
-1	79	3
0	95	3
1	81	3
2	97	3
3	68	3
4	41	3
5	88	3
6	78	3
7	53	3
8	89	3
9	87	3
10	55	3
11	81	3
12	84	3
13	66	3
14	64	3
15	89	3
16	107	3
17	90	3
18	85	3
19	90	3
20	120	3
21	125	3
22	121	3
23	96	3
24	121	3
25	95	3
