"Year"	"Author"	"Dataset"
2009	"Ingolia"	"mRNA-rich-1"
2009	"Ingolia"	"mRNA-rich-2"
2009	"Ingolia"	"mRNA-starved-1"
2009	"Ingolia"	"mRNA-starved-2"
2009	"Ingolia"	"rpf-rich-1"
2009	"Ingolia"	"rpf-rich-2"
2009	"Ingolia"	"rpf-starved-1"
2009	"Ingolia"	"rpf-starved-2"
2012	"Brar"	"mRNA_10_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_11_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_12_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_13_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_15_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_18_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_1_tp_ndt80_release_tc_premeiotic"
2012	"Brar"	"mRNA_3_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_4_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_5_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_6_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_7_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_8_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_9_tp_ndt80_release_tc"
2012	"Brar"	"mRNA_A_tp_traditional_tc_premeiotic"
2012	"Brar"	"mRNA_B_tp_traditional_tc"
2012	"Brar"	"mRNA_D_tp_traditional_tc"
2012	"Brar"	"mRNA_E_tp_traditional_tc"
2012	"Brar"	"mRNA_for_14201_meiotic_rep_2"
2012	"Brar"	"mRNA_for_A14201_meiotic_rep_1"
2012	"Brar"	"mRNA_for_exp_veg_cells_str_14201_used_ndt80_release_tc"
2012	"Brar"	"mRNA_for_exp_veg_cells_str_gb15_used_traditional_tc"
2012	"Brar"	"mRNA_for_gb15_meiotic_rep_1"
2012	"Brar"	"mRNA_for_gb15_meiotic_rep_2"
2012	"Brar"	"mRNA_for_mata-a_strain_fig_s6a"
2012	"Brar"	"mRNA_F_tp_traditional_tc"
2012	"Brar"	"mRNA_G_tp_traditional_tc"
2012	"Brar"	"mRNA_i_tp_traditional_tc_the_first_lane_of_this"
2012	"Brar"	"mRNA_i_tp_traditional_tc_the_second_lane_of_this"
2012	"Brar"	"mRNA_K_tp_traditional_tc"
2012	"Brar"	"mRNA_L_tp_traditional_tc"
2012	"Brar"	"mRNA_O_tp_traditional_tc"
2012	"Brar"	"mRNA_V_tp_traditional_tc"
2012	"Brar"	"rpf_10_tp_ndt80_release_tc"
2012	"Brar"	"rpf_11_tp_ndt80_release_tc"
2012	"Brar"	"rpf_12_tp_ndt80_release_tc_the_first_lane_of_this"
2012	"Brar"	"rpf_12_tp_ndt80_release_tc_the_second_lane_of_this"
2012	"Brar"	"rpf_13_tp_ndt80_release_tc"
2012	"Brar"	"rpf_15_tp_ndt80_release_tc"
2012	"Brar"	"rpf_18_tp_ndt80_release_tc"
2012	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"
2012	"Brar"	"rpf_3_tp_ndt80_release_tc"
2012	"Brar"	"rpf_4_tp_ndt80_release_tc"
2012	"Brar"	"rpf_5_tp_ndt80_release_tc"
2012	"Brar"	"rpf_6_tp_ndt80_release_tc"
2012	"Brar"	"rpf_7_tp_ndt80_release_tc"
2012	"Brar"	"rpf_8_tp_ndt80_release_tc"
2012	"Brar"	"rpf_9_tp_ndt80_release_tc"
2012	"Brar"	"rpf_A_tp_traditional_tc_premeiotic"
2012	"Brar"	"rpf_B_tp_traditional_tc"
2012	"Brar"	"rpf_D_tp_traditional_tc"
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"
2012	"Brar"	"rpf_E_tp_traditional_tc_second_lane_of_this"
2012	"Brar"	"rpf_for_A14201_meiotic_rep_1"
2012	"Brar"	"rpf_for_A14201_meiotic_rep_2"
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"
2012	"Brar"	"rpf_for_exp_veg_cells_str_gb15_used_traditional_tc"
2012	"Brar"	"rpf_for_gb15_meiotic_rep_1"
2012	"Brar"	"rpf_for_gb15_meiotic_rep_2"
2012	"Brar"	"rpf_for_mata-a_strain_2hr_fig_s6b"
2012	"Brar"	"rpf_for_mata-a_strain_4hr_fig_s6b"
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"
2012	"Brar"	"rpf_F_tp_traditional_tc"
2012	"Brar"	"rpf_G_tp_traditional_tc_the_first_lane_of_this"
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"
2012	"Brar"	"rpf_i_tp_traditional_tc"
2012	"Brar"	"rpf_K_tp_traditional_tc"
2012	"Brar"	"rpf_L_tp_traditional_tc"
2012	"Brar"	"rpf_O_tp_traditional_tc"
2012	"Brar"	"rpf_V_tp_traditional_tc"
2013	"Zinshteyn"	"WT_mRNA_1_repeat"
2013	"Zinshteyn"	"WT_mRNA_1"
2013	"Zinshteyn"	"WT_mRNA_2_repeat"
2013	"Zinshteyn"	"WT_mRNA_2"
2013	"Zinshteyn"	"WT_rpf_1"
2013	"Zinshteyn"	"WT_rpf_2"
2013	"Zinshteyn"	"Δelp3_mRNA_repeat"
2013	"Zinshteyn"	"Δelp3_mRNA"
2013	"Zinshteyn"	"Δelp3_rpf"
2013	"Zinshteyn"	"Δncs2_mRNA_repeat"
2013	"Zinshteyn"	"Δncs2_mRNA"
2013	"Zinshteyn"	"Δncs2_rpf"
2013	"Zinshteyn"	"Δncs6_mRNA_1_repeat"
2013	"Zinshteyn"	"Δncs6_mRNA_1"
2013	"Zinshteyn"	"Δncs6_mRNA_2_repeat"
2013	"Zinshteyn"	"Δncs6_mRNA_2"
2013	"Zinshteyn"	"Δncs6_rpf_1"
2013	"Zinshteyn"	"Δncs6_rpf_2"
2013	"Zinshteyn"	"Δuba4_mRNA_1_repeat"
2013	"Zinshteyn"	"Δuba4_mRNA_1"
2013	"Zinshteyn"	"Δuba4_mRNA_2_repeat"
2013	"Zinshteyn"	"Δuba4_mRNA_2"
2013	"Zinshteyn"	"Δuba4_rpf_1"
2013	"Zinshteyn"	"Δuba4_rpf_2"
2014	"Albert"	"BY_FP"
2014	"Albert"	"BY_mRNA"
2014	"Artieri"	"mixed_mrna_rep1"
2014	"Artieri"	"mixed_rpf_rep1"
2014	"Artieri"	"mixed_rpf_rep2"
2014	"Artieri"	"scer_mrna"
2014	"Gardin"	"Sc-His_Footprint-seq"
2014	"Gardin"	"Sc-His_mRNA-seq"
2014	"Gardin"	"Sc-Lys_Footprint-seq"
2014	"Gardin"	"Sc-Lys_mRNA-seq"
2014	"Gerashchenko"	"aurin_noCHX"
2014	"Gerashchenko"	"complete_SD_media"
2014	"Gerashchenko"	"edeine_noCHX"
2014	"Gerashchenko"	"heatshock_1x_CHX"
2014	"Gerashchenko"	"heatshock_noCHX"
2014	"Gerashchenko"	"oxidative_100x_CHX_rep1"
2014	"Gerashchenko"	"oxidative_100x_CHX_rep2"
2014	"Gerashchenko"	"oxidative_1_16x_CHX"
2014	"Gerashchenko"	"oxidative_1_4x_CHX"
2014	"Gerashchenko"	"oxidative_1_64x_CHX"
2014	"Gerashchenko"	"oxidative_1x_CHX"
2014	"Gerashchenko"	"oxidative_8x_CHX"
2014	"Gerashchenko"	"oxidative_noCHX"
2014	"Gerashchenko"	"SD_no_aminoacids_plus_His_Met_Leu"
2014	"Gerashchenko"	"SD_no_aminoacids"
2014	"Gerashchenko"	"small_subunit"
2014	"Gerashchenko"	"unstressed_100x_CHX_rep1"
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"
2014	"Gerashchenko"	"unstressed_1_16x_CHX"
2014	"Gerashchenko"	"unstressed_1_4x_CHX"
2014	"Gerashchenko"	"unstressed_1_64x_CHX"
2014	"Gerashchenko"	"unstressed_1x_CHX"
2014	"Gerashchenko"	"unstressed_8x_CHX"
2014	"Gerashchenko"	"unstressed_noCHX"
2014	"Guydosh"	"dom34KO_3-AT"
2014	"Guydosh"	"dom34KO_CHX+GMP-PNP"
2014	"Guydosh"	"dom34KO_CHX"
