Position	Counts	End
-20	418	5
-19	432	5
-18	471	5
-17	374	5
-16	401	5
-15	31129	5
-14	5899	5
-13	327	5
-12	346	5
-11	270	5
-10	439	5
-9	2644	5
-8	15775	5
-7	91337	5
-6	13755	5
-5	5014	5
-4	16635	5
-3	4167	5
-2	3611	5
-1	12754	5
0	4691	5
1	7611	5
2	18649	5
3	2473	5
4	5337	5
5	15407	5
6	3190	5
7	1861	5
8	8827	5
9	2281	5
10	2318	5
11	7733	5
12	1952	5
13	1714	5
14	6308	5
15	1946	5
16	1917	5
17	6623	5
18	1745	5
19	1574	5
20	6276	5
21	1782	5
22	1419	5
23	5177	5
24	1696	5
25	1739	5
-20	2330	3
-19	495	3
-18	662	3
-17	3360	3
-16	647	3
-15	3343	3
-14	12292	3
-13	2432	3
-12	638	3
-11	475	3
-10	247	3
-9	313	3
-8	124	3
-7	94	3
-6	178	3
-5	137	3
-4	102	3
-3	128	3
-2	80	3
-1	70	3
0	43	3
1	110	3
2	519	3
3	306	3
4	489	3
5	351	3
6	296	3
7	303	3
8	157	3
9	73	3
10	42	3
11	5037	3
12	797	3
13	55	3
14	102	3
15	120	3
16	106	3
17	128	3
18	168	3
19	238	3
20	124	3
21	47	3
22	89	3
23	77	3
24	59	3
25	287	3
