Position	Counts	End
-20	639	5
-19	1068	5
-18	696	5
-17	861	5
-16	1309	5
-15	2970	5
-14	4588	5
-13	718	5
-12	528	5
-11	517	5
-10	594	5
-9	1442	5
-8	24920	5
-7	68351	5
-6	7697	5
-5	7886	5
-4	17853	5
-3	2664	5
-2	6082	5
-1	16229	5
0	2724	5
1	10984	5
2	16801	5
3	2288	5
4	5469	5
5	17810	5
6	3246	5
7	6535	5
8	13966	5
9	3066	5
10	5569	5
11	12932	5
12	2037	5
13	4881	5
14	11906	5
15	1845	5
16	4234	5
17	10818	5
18	1854	5
19	4316	5
20	10076	5
21	1853	5
22	4691	5
23	11428	5
24	1737	5
25	4182	5
-20	8755	3
-19	1280	3
-18	3035	3
-17	9021	3
-16	1242	3
-15	1639	3
-14	3605	3
-13	788	3
-12	561	3
-11	526	3
-10	486	3
-9	482	3
-8	441	3
-7	461	3
-6	475	3
-5	513	3
-4	506	3
-3	546	3
-2	572	3
-1	583	3
0	546	3
1	737	3
2	1586	3
3	1171	3
4	2044	3
5	2180	3
6	3121	3
7	729	3
8	592	3
9	718	3
10	921	3
11	11250	3
12	2720	3
13	677	3
14	1005	3
15	703	3
16	743	3
17	628	3
18	695	3
19	1530	3
20	794	3
21	534	3
22	666	3
23	729	3
24	585	3
25	709	3
