Position	Counts	End
-20	134	5
-19	158	5
-18	189	5
-17	217	5
-16	180	5
-15	198	5
-14	157	5
-13	176	5
-12	206	5
-11	88	5
-10	205	5
-9	548	5
-8	3559	5
-7	29000	5
-6	12153	5
-5	6239	5
-4	17451	5
-3	7244	5
-2	4339	5
-1	16405	5
0	7384	5
1	5039	5
2	15465	5
3	6568	5
4	2416	5
5	21639	5
6	8034	5
7	496	5
8	12189	5
9	6183	5
10	6194	5
11	7606	5
12	5512	5
13	3449	5
14	10061	5
15	4218	5
16	4505	5
17	10415	5
18	5978	5
19	3854	5
20	8441	5
21	4810	5
22	5175	5
23	10404	5
24	6551	5
25	3622	5
-20	13976	3
-19	7572	3
-18	5984	3
-17	12425	3
-16	11631	3
-15	35731	3
-14	75105	3
-13	39729	3
-12	7041	3
-11	4375	3
-10	3125	3
-9	2860	3
-8	2222	3
-7	2307	3
-6	1840	3
-5	1512	3
-4	1182	3
-3	636	3
-2	594	3
-1	423	3
0	211	3
1	55	3
2	37	3
3	42	3
4	56	3
5	53	3
6	53	3
7	48	3
8	41	3
9	44	3
10	30	3
11	41	3
12	37	3
13	46	3
14	52	3
15	35	3
16	25	3
17	38	3
18	54	3
19	41	3
20	45	3
21	34	3
22	25	3
23	56	3
24	64	3
25	27	3
