Position	Counts	End
-20	371	5
-19	414	5
-18	495	5
-17	453	5
-16	594	5
-15	695	5
-14	720	5
-13	848	5
-12	730	5
-11	704	5
-10	1070	5
-9	4183	5
-8	20067	5
-7	15485	5
-6	9863	5
-5	36638	5
-4	28816	5
-3	11566	5
-2	24739	5
-1	19048	5
0	10711	5
1	44108	5
2	16385	5
3	10254	5
4	20280	5
5	28743	5
6	14295	5
7	19274	5
8	20133	5
9	5909	5
10	18283	5
11	13100	5
12	4251	5
13	13462	5
14	11936	5
15	5536	5
16	16598	5
17	15533	5
18	5120	5
19	14261	5
20	12548	5
21	5413	5
22	13262	5
23	11870	5
24	4882	5
25	24313	5
-20	1322	3
-19	477	3
-18	1659	3
-17	1071	3
-16	596	3
-15	2439	3
-14	1931	3
-13	533	3
-12	339	3
-11	207	3
-10	254	3
-9	213	3
-8	194	3
-7	199	3
-6	196	3
-5	222	3
-4	236	3
-3	170	3
-2	157	3
-1	161	3
0	191	3
1	178	3
2	163	3
3	174	3
4	149	3
5	198	3
6	117	3
7	154	3
8	124	3
9	105	3
10	149	3
11	115	3
12	123	3
13	144	3
14	126	3
15	162	3
16	178	3
17	175	3
18	150	3
19	170	3
20	144	3
21	155	3
22	176	3
23	150	3
24	139	3
25	141	3
