Position	Counts	End
-20	7172	5
-19	7762	5
-18	7348	5
-17	7924	5
-16	7681	5
-15	7197	5
-14	6922	5
-13	7784	5
-12	7884	5
-11	7502	5
-10	7609	5
-9	7564	5
-8	7365	5
-7	8995	5
-6	8800	5
-5	7947	5
-4	9408	5
-3	8196	5
-2	9190	5
-1	10300	5
0	9370	5
1	8286	5
2	10855	5
3	12842	5
4	3576	5
5	16866	5
6	4552	5
7	5420	5
8	8079	5
9	7860	5
10	7753	5
11	8383	5
12	7884	5
13	8191	5
14	9139	5
15	7894	5
16	8332	5
17	8969	5
18	9289	5
19	7648	5
20	9478	5
21	9196	5
22	7599	5
23	9347	5
24	8586	5
25	7914	5
-20	9107	3
-19	10269	3
-18	7340	3
-17	9059	3
-16	10899	3
-15	8130	3
-14	9371	3
-13	9170	3
-12	7145	3
-11	9496	3
-10	8831	3
-9	7573	3
-8	9338	3
-7	9070	3
-6	8356	3
-5	9306	3
-4	9083	3
-3	5971	3
-2	9970	3
-1	9007	3
0	10988	3
1	11003	3
2	8589	3
3	7117	3
4	8317	3
5	7958	3
6	8163	3
7	8233	3
8	8083	3
9	8550	3
10	7924	3
11	8177	3
12	8288	3
13	8247	3
14	8064	3
15	8023	3
16	7648	3
17	8133	3
18	8124	3
19	7892	3
20	8214	3
21	7912	3
22	8116	3
23	7785	3
24	7904	3
25	7475	3
