Position	Counts	End
-20	4675	5
-19	5873	5
-18	6530	5
-17	7570	5
-16	9081	5
-15	7253	5
-14	7607	5
-13	7453	5
-12	7544	5
-11	8290	5
-10	7660	5
-9	8099	5
-8	7527	5
-7	8443	5
-6	7949	5
-5	7835	5
-4	7929	5
-3	7621	5
-2	7535	5
-1	7259	5
0	6962	5
1	7379	5
2	7791	5
3	8743	5
4	6164	5
5	7522	5
6	8316	5
7	4329	5
8	4634	5
9	5859	5
10	7242	5
11	6808	5
12	6822	5
13	7080	5
14	7657	5
15	7171	5
16	7697	5
17	7114	5
18	6873	5
19	7276	5
20	6686	5
21	7261	5
22	7309	5
23	6580	5
24	7026	5
25	7059	5
-20	13694	3
-19	14103	3
-18	14039	3
-17	12837	3
-16	14181	3
-15	15728	3
-14	13425	3
-13	13353	3
-12	13335	3
-11	12529	3
-10	13497	3
-9	15042	3
-8	13754	3
-7	13901	3
-6	14760	3
-5	14105	3
-4	14520	3
-3	14016	3
-2	14715	3
-1	14812	3
0	16079	3
1	16455	3
2	16452	3
3	16102	3
4	17145	3
5	16059	3
6	16553	3
7	17820	3
8	17396	3
9	14727	3
10	15213	3
11	14844	3
12	16011	3
13	16731	3
14	17321	3
15	17570	3
16	17030	3
17	17575	3
18	17401	3
19	17624	3
20	17200	3
21	17371	3
22	17894	3
23	17647	3
24	17719	3
25	18370	3
