Position	Counts	End
-20	465	5
-19	449	5
-18	541	5
-17	472	5
-16	606	5
-15	569	5
-14	460	5
-13	498	5
-12	463	5
-11	1518	5
-10	21589	5
-9	110205	5
-8	210780	5
-7	111849	5
-6	25687	5
-5	33546	5
-4	23065	5
-3	14570	5
-2	26826	5
-1	16271	5
0	18194	5
1	31021	5
2	14522	5
3	27624	5
4	13724	5
5	36220	5
6	7989	5
7	11784	5
8	11575	5
9	11768	5
10	19362	5
11	10835	5
12	8911	5
13	19355	5
14	12935	5
15	7886	5
16	17318	5
17	11829	5
18	9023	5
19	15764	5
20	9886	5
21	8959	5
22	15531	5
23	9809	5
24	7930	5
25	14432	5
-20	6150	3
-19	4757	3
-18	7948	3
-17	4902	3
-16	2225	3
-15	3997	3
-14	2633	3
-13	385	3
-12	143	3
-11	178	3
-10	122	3
-9	87	3
-8	82	3
-7	59	3
-6	71	3
-5	58	3
-4	86	3
-3	61	3
-2	66	3
-1	65	3
0	71	3
1	70	3
2	40	3
3	51	3
4	34	3
5	49	3
6	38	3
7	57	3
8	72	3
9	39	3
10	29	3
11	31	3
12	32	3
13	32	3
14	46	3
15	39	3
16	82	3
17	35	3
18	33	3
19	52	3
20	39	3
21	41	3
22	29	3
23	32	3
24	36	3
25	27	3
