Position	Counts	End
-20	543	5
-19	485	5
-18	546	5
-17	612	5
-16	703	5
-15	661	5
-14	531	5
-13	630	5
-12	656	5
-11	1616	5
-10	25303	5
-9	134285	5
-8	239920	5
-7	125958	5
-6	26851	5
-5	28188	5
-4	19008	5
-3	14575	5
-2	26994	5
-1	16550	5
0	20549	5
1	25014	5
2	12730	5
3	26927	5
4	12545	5
5	34084	5
6	5593	5
7	7630	5
8	11744	5
9	11612	5
10	17213	5
11	8647	5
12	8853	5
13	15297	5
14	10623	5
15	7702	5
16	15641	5
17	9161	5
18	8732	5
19	13030	5
20	8154	5
21	10032	5
22	14018	5
23	8583	5
24	8557	5
25	13428	5
-20	5761	3
-19	6823	3
-18	9161	3
-17	4742	3
-16	2770	3
-15	4069	3
-14	1805	3
-13	343	3
-12	145	3
-11	144	3
-10	135	3
-9	116	3
-8	132	3
-7	122	3
-6	84	3
-5	106	3
-4	103	3
-3	62	3
-2	120	3
-1	102	3
0	136	3
1	126	3
2	62	3
3	62	3
4	75	3
5	77	3
6	71	3
7	66	3
8	56	3
9	46	3
10	46	3
11	51	3
12	47	3
13	55	3
14	73	3
15	85	3
16	140	3
17	53	3
18	52	3
19	49	3
20	63	3
21	54	3
22	60	3
23	75	3
24	63	3
25	71	3
