Position	Counts	End
-20	268	5
-19	336	5
-18	320	5
-17	313	5
-16	222	5
-15	219	5
-14	174	5
-13	196	5
-12	197	5
-11	190	5
-10	579	5
-9	3483	5
-8	18344	5
-7	39931	5
-6	11437	5
-5	10090	5
-4	15818	5
-3	6637	5
-2	7806	5
-1	9912	5
0	6016	5
1	14185	5
2	12976	5
3	4361	5
4	7800	5
5	15814	5
6	7722	5
7	3256	5
8	9401	5
9	3854	5
10	8498	5
11	8023	5
12	3554	5
13	5321	5
14	9404	5
15	3358	5
16	6789	5
17	10212	5
18	4149	5
19	7805	5
20	9751	5
21	4102	5
22	7961	5
23	8985	5
24	4346	5
25	6500	5
-20	9586	3
-19	3640	3
-18	7785	3
-17	9263	3
-16	4281	3
-15	12230	3
-14	13564	3
-13	3206	3
-12	1520	3
-11	1297	3
-10	933	3
-9	775	3
-8	698	3
-7	555	3
-6	463	3
-5	374	3
-4	285	3
-3	181	3
-2	201	3
-1	168	3
0	132	3
1	132	3
2	121	3
3	64	3
4	63	3
5	47	3
6	47	3
7	47	3
8	44	3
9	56	3
10	33	3
11	32	3
12	46	3
13	42	3
14	45	3
15	36	3
16	41	3
17	36	3
18	36	3
19	28	3
20	36	3
21	53	3
22	47	3
23	65	3
24	51	3
25	39	3
