Position	Counts	End
-20	7576	5
-19	9874	5
-18	8391	5
-17	10097	5
-16	12664	5
-15	7528	5
-14	7200	5
-13	8597	5
-12	7705	5
-11	10103	5
-10	7466	5
-9	7399	5
-8	9122	5
-7	9780	5
-6	8111	5
-5	7529	5
-4	9210	5
-3	8207	5
-2	8604	5
-1	7681	5
0	7133	5
1	9693	5
2	10023	5
3	8020	5
4	7770	5
5	11062	5
6	4777	5
7	4162	5
8	4996	5
9	3948	5
10	6380	5
11	7170	5
12	6021	5
13	5832	5
14	6675	5
15	5885	5
16	7067	5
17	6909	5
18	6456	5
19	6210	5
20	6979	5
21	5679	5
22	6017	5
23	6912	5
24	6537	5
25	6171	5
-20	15105	3
-19	13368	3
-18	11161	3
-17	13408	3
-16	12820	3
-15	12137	3
-14	12949	3
-13	13286	3
-12	10372	3
-11	13286	3
-10	12374	3
-9	11607	3
-8	13731	3
-7	12531	3
-6	12379	3
-5	14581	3
-4	12386	3
-3	10323	3
-2	14341	3
-1	13240	3
0	15764	3
1	13898	3
2	25265	3
3	12678	3
4	12035	3
5	10452	3
6	12595	3
7	12050	3
8	12000	3
9	11394	3
10	11317	3
11	12917	3
12	12246	3
13	12114	3
14	12610	3
15	12576	3
16	11083	3
17	13168	3
18	12060	3
19	12205	3
20	12371	3
21	12316	3
22	12449	3
23	11851	3
24	11713	3
25	11403	3
