Position	Counts	End
-20	550	5
-19	487	5
-18	554	5
-17	510	5
-16	442	5
-15	7483	5
-14	1697	5
-13	401	5
-12	485	5
-11	391	5
-10	463	5
-9	1976	5
-8	17866	5
-7	55887	5
-6	9801	5
-5	6888	5
-4	16266	5
-3	4367	5
-2	5029	5
-1	13454	5
0	4092	5
1	9736	5
2	18340	5
3	3391	5
4	7910	5
5	17165	5
6	4398	5
7	4017	5
8	10780	5
9	2775	5
10	4371	5
11	10545	5
12	2395	5
13	3298	5
14	9054	5
15	2233	5
16	2997	5
17	7576	5
18	2054	5
19	2617	5
20	6650	5
21	1650	5
22	2257	5
23	5282	5
24	1402	5
25	2280	5
-20	4253	3
-19	893	3
-18	1557	3
-17	4466	3
-16	912	3
-15	2399	3
-14	5999	3
-13	1237	3
-12	389	3
-11	288	3
-10	143	3
-9	189	3
-8	151	3
-7	119	3
-6	142	3
-5	119	3
-4	128	3
-3	116	3
-2	96	3
-1	79	3
0	72	3
1	94	3
2	204	3
3	133	3
4	197	3
5	120	3
6	162	3
7	171	3
8	110	3
9	89	3
10	56	3
11	804	3
12	221	3
13	68	3
14	92	3
15	87	3
16	95	3
17	74	3
18	186	3
19	196	3
20	84	3
21	63	3
22	156	3
23	78	3
24	77	3
25	150	3
