# Created by: RiboViz
# Date: 2021-01-19 06:28:27
# File: /home/ubuntu/riboviz/rscripts/generate_stats_figs.R
# Version: commit 7aad0d0385ef62bb0e0f86f4849e4e15929f0d3e date 2021-01-18 14:51:25 GMT
ORF	readcount	rpb	tpm
YAL001C	19	0.00538243626062323	953.022776609483
YAL002W	8	0.00206611570247934	365.829752221778
YAL003W	379	0.567365269461078	100458.602437955
YAL005C	2668	1.3502024291498	239069.002530875
YAL007C	15	0.0215827338129496	3821.47338292102
YAL008W	12	0.0186335403726708	3299.28447345355
YAL009W	3	0.00362756952841596	642.303265085879
YAL010C	9	0.00588620013080445	1042.22001352392
YAL011W	20	0.0103896103896104	1839.6010397438
YAL012W	270	0.219155844155844	38804.0844320958
YAL013W	38	0.0300395256916996	5318.84648447664
YAL014C	18	0.0220858895705521	3910.56294644924
YAL015C	24	0.0192461908580593	3407.76134868338
YAL016W	207	0.105882352941176	18747.6988315067
YAL017W	20	0.00485672656629432	859.939776956487
YAL018C	1	0.000975609756097561	172.743024463747
YAL019W	29	0.00842288701713622	1491.36985250795
YAL020C	7	0.00667302192564347	1181.53593949226
YAL021C	59	0.023037875829754	4079.12315675326
YAL022C	32	0.0199875078076202	3539.02011393561
YAL023C	82	0.0352385045122475	6239.38599320066
YAL024C	9	0.00206659012629162	365.913754461095
YAL025C	22	0.0227272727272727	4024.12727443956
YAL026C	38	0.00923450789793439	1635.07674431663
YAL027W	3	0.00360144057623049	637.676831003628
YAL028W	5	0.00305997552019584	541.804161797248
YAL029C	26	0.00582567779520502	1031.50383194238
YAL030W	15	0.0374064837905237	6623.25187314242
YAL031C	11	0.00472103004291845	835.913133402896
YAL032C	10	0.008424599831508	1491.67312616125
YAL033W	11	0.0193321616871705	3422.9834812456
YAL034C	7	0.00543056633048875	961.54476379161
YAL034W-A	8	0.00872410032715376	1544.70316314365
YAL035W	202	0.0660994764397906	11703.6790625716
YAL036C	83	0.0717372515125324	12701.9125378161
YAL037C-A	0	0	0
YAL037W	1	0.00117508813160987	208.062984812386
YAL038W	3219	2.07677419354839	367716.961704853
YAL039C	29	0.0338389731621937	5991.58273300453
YAL040C	4	0.00223463687150838	395.668380056627
YAL041W	53	0.0202909647779479	3592.75069065584
YAL042W	67	0.0517374517374517	9160.71598845392
YAL043C	30	0.0124740124740125	2208.66860800841
YAL044C	249	0.444642857142857	78729.1757477854
YAL044W-A	18	0.0473684210526316	8387.1284246214
YAL046C	16	0.0396039603960396	7012.3405970432
YAL047C	19	0.00991649269311065	1755.8300633776
YAL048C	13	0.00638506876227898	1130.55049164019
YAL049C	3	0.00380710659898477	674.092386073632
YAL051W	23	0.00720777185835161	1276.21961821775
YAL053W	54	0.0225093789078783	3985.54664613105
YAL054C	6	0.00274097761534947	485.32188234447
YAL055W	7	0.011864406779661	2100.7308483515
YAL056W	10	0.00371747211895911	658.221561618367
YAL058W	22	0.0141388174807198	2503.44164630944
YAL059W	18	0.0262390670553936	4645.93119731215
YAL060W	38	0.0317725752508361	5625.70301242721
YAL061W	4	0.00307455803228286	544.386164720494
YAL062W	5	0.00351864883884588	623.017593509292
YAL063C	1	0.000249003984063745	44.0890438434613
YAL063C-A	0	0	0
YAL064C-A	1	0.00233644859813084	413.695327278833
YAL064W	1	0.00301204819277108	533.318072516087
YAL064W-B	1	0.00233644859813084	413.695327278833
YAL065C	1	0.00230414746543779	407.976037039956
YAL067C	3	0.00164024056861673	290.423619587765
YAL067W-A	2	0.00727272727272727	1287.72072782066
YAL068C	1	0.0024390243902439	431.857561159368
